War Machine,38rp593,24,0,Lojak the Fissure,7005342,3850509,1219413,0,17167,25813,24084,19144,14697,0,0,1834512,0,0,0,0,0,0,0,0,0,0,0,0,0
War Machine,38rp593,24,1,Jukk the Overseer,14199761,3047702,12019,501313,230,0,89189,0,0,2359880,5187691,0,2383734,0,617978,0,0,0,0,23,0,0,0,0,0
War Machine,38rp593,24,2,Jukk the Overseer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
War Machine,38rp593,24,3,Mohaca the Gale,7361885,2243448,552,0,460,0,0,0,1751106,0,0,0,0,0,3364370,0,0,0,0,0,1946,0,0,0,0
War Machine,38rp593,24,4,Jukk the Overseer,14601097,2206700,1874605,0,230,0,1869534,0,230,0,7406565,0,920,1109701,126883,0,0,969,0,4687,69,0,0,0,0
KING,xdkdnx,24,0,Lojak the Fissure,8144815,3269055,0,1030703,0,516946,0,0,0,0,3327972,0,0,0,0,0,0,137,0,0,0,0,0,0,0
KING,xdkdnx,24,1,Jukk the Overseer,7923653,3191820,0,0,993803,0,1790445,0,0,0,1602280,0,187090,0,158212,0,0,0,0,0,0,0,0,0,0
KING,xdkdnx,24,2,Jukk the Overseer,6642072,3535359,0,0,0,0,1592153,0,0,0,1514559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KING,xdkdnx,24,3,Mohaca the Gale,7089982,3327326,0,0,0,0,0,1563958,0,0,0,0,0,0,0,2198698,0,0,0,0,0,0,0,0,0
KING,xdkdnx,24,4,Jukk the Overseer,9282553,1599238,0,0,0,0,1397759,0,0,0,6281719,0,0,0,0,0,0,0,0,0,3835,0,0,0,0
□KoA□ PyroW,45d3b49,24,0,Lojak the Fissure,9183274,0,1535159,0,0,0,0,0,0,4619804,3028310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
□KoA□ PyroW,45d3b49,24,1,Jukk the Overseer,3537095,0,0,0,0,1311052,0,0,0,2146668,0,0,0,79374,0,0,0,0,0,0,0,0,0,0,0
□KoA□ PyroW,45d3b49,24,2,Jukk the Overseer,10870500,1466931,1468064,0,0,0,0,226,0,3640861,2681508,0,0,1612795,0,0,0,113,0,0,0,0,0,0,0
□KoA□ PyroW,45d3b49,24,3,Mohaca the Gale,1458419,1458419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
□KoA□ PyroW,45d3b49,24,4,Jukk the Overseer,12535310,0,1479784,0,0,0,0,678,0,3058305,4973852,0,0,3022495,0,0,0,45,0,149,0,0,0,0,0
Soul Crusher,gpydd9q,24,0,Lojak the Fissure,6048597,3216748,1462246,0,0,3054,0,610,0,0,0,1365352,0,0,0,0,0,0,0,583,0,0,0,0,0
Soul Crusher,gpydd9q,24,1,Jukk the Overseer,11182294,0,0,0,0,0,888,0,0,3393726,2880975,0,1393082,0,3512844,0,0,0,0,22,754,0,0,0,0
Soul Crusher,gpydd9q,24,2,Jukk the Overseer,1457603,1454437,0,0,3165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soul Crusher,gpydd9q,24,3,Mohaca the Gale,12788601,0,7420,0,0,0,0,3072815,0,0,0,0,0,7231,2916616,3627749,3155632,0,0,0,488,103,499,0,44
Soul Crusher,gpydd9q,24,4,Jukk the Overseer,5828639,0,0,0,0,0,0,1221,0,0,4464619,0,0,1340514,20838,0,0,333,0,868,244,0,0,0,0
RavenBladeLady,mq63m2w,24,0,Lojak the Fissure,5897934,1467454,1498039,0,0,27711,0,0,0,0,0,2903641,0,0,0,0,0,0,0,1087,0,0,0,0,0
RavenBladeLady,mq63m2w,24,1,Jukk the Overseer,10457129,1533968,1493558,3162627,0,0,0,0,0,0,0,0,0,4266191,0,0,0,0,0,783,0,0,0,0,0
RavenBladeLady,mq63m2w,24,2,Jukk the Overseer,1625790,1552089,0,73700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RavenBladeLady,mq63m2w,24,3,Mohaca the Gale,10761591,1500443,0,3179913,0,0,0,0,0,1375409,0,0,0,0,0,0,4705825,0,0,0,0,0,0,0,0
RavenBladeLady,mq63m2w,24,4,Jukk the Overseer,7343916,1528290,0,0,0,0,1205367,0,0,0,1410182,0,3199896,0,0,0,0,0,0,0,178,0,0,0,0
Reaper,q4gwy7g,20,0,Lojak the Fissure,12181516,3690314,1697240,0,0,0,0,1566822,0,0,3423366,0,0,0,0,1803772,0,0,0,0,0,0,0,0,0
Reaper,q4gwy7g,20,1,Jukk the Overseer,2003869,2003869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reaper,q4gwy7g,20,2,Jukk the Overseer,10220384,0,1645405,0,0,0,3163176,0,0,1846512,3540293,0,24810,0,0,0,0,0,0,0,186,0,0,0,0
Reaper,q4gwy7g,20,3,Mohaca the Gale,6945599,2082187,5054,0,0,0,0,0,0,0,0,0,0,1806589,0,3051497,0,0,0,270,0,0,0,0,0
Reaper,q4gwy7g,20,4,Jukk the Overseer,4436082,3250830,0,0,0,0,0,1185252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dolenparm,gn5xew,20,0,Lojak the Fissure,13766110,0,0,0,0,0,187154,454843,1166725,0,6898472,0,0,0,0,5033615,25251,23,0,23,0,0,0,0,0
dolenparm,gn5xew,20,1,Jukk the Overseer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dolenparm,gn5xew,20,2,Jukk the Overseer,7419928,0,0,0,0,0,0,233,0,4325248,1487208,914508,692222,0,0,0,0,0,0,0,508,0,0,0,0
